,Event Date,Hour,Tide Height (m),Date and Time
0,2022-06-04,00,,2022-06-04 00:00:00
8,2022-06-04,01,7.0,2022-06-04 01:00:00
16,2022-06-04,02,8.6,2022-06-04 02:00:00
24,2022-06-04,03,9.7,2022-06-04 03:00:00
32,2022-06-04,04,10.1,2022-06-04 04:00:00
40,2022-06-04,05,9.6,2022-06-04 05:00:00
48,2022-06-04,06,8.4,2022-06-04 06:00:00
56,2022-06-04,07,6.6,2022-06-04 07:00:00
64,2022-06-04,08,4.8,2022-06-04 08:00:00
72,2022-06-04,09,3.2,2022-06-04 09:00:00
80,2022-06-04,10,2.5,2022-06-04 10:00:00
88,2022-06-04,11,2.7,2022-06-04 11:00:00
96,2022-06-04,12,3.9,2022-06-04 12:00:00
104,2022-06-04,13,5.6,2022-06-04 13:00:00
112,2022-06-04,14,7.4,2022-06-04 14:00:00
120,2022-06-04,15,8.8,2022-06-04 15:00:00
128,2022-06-04,16,9.5,2022-06-04 16:00:00
136,2022-06-04,17,9.5,2022-06-04 17:00:00
144,2022-06-04,18,8.7,2022-06-04 18:00:00
152,2022-06-04,19,7.3,2022-06-04 19:00:00
160,2022-06-04,20,5.7,2022-06-04 20:00:00
168,2022-06-04,21,4.2,2022-06-04 21:00:00
176,2022-06-04,22,3.3,2022-06-04 22:00:00
184,2022-06-04,23,3.3,2022-06-04 23:00:00
1,2022-06-05,00,4.2,2022-06-05 00:00:00
9,2022-06-05,01,5.7,2022-06-05 01:00:00
17,2022-06-05,02,7.4,2022-06-05 02:00:00
25,2022-06-05,03,8.9,2022-06-05 03:00:00
33,2022-06-05,04,9.7,2022-06-05 04:00:00
41,2022-06-05,05,9.8,2022-06-05 05:00:00
49,2022-06-05,06,9.1,2022-06-05 06:00:00
57,2022-06-05,07,7.8,2022-06-05 07:00:00
65,2022-06-05,08,6.1,2022-06-05 08:00:00
73,2022-06-05,09,4.4,2022-06-05 09:00:00
81,2022-06-05,10,3.1,2022-06-05 10:00:00
89,2022-06-05,11,2.7,2022-06-05 11:00:00
97,2022-06-05,12,3.2,2022-06-05 12:00:00
105,2022-06-05,13,4.5,2022-06-05 13:00:00
113,2022-06-05,14,6.2,2022-06-05 14:00:00
121,2022-06-05,15,7.8,2022-06-05 15:00:00
129,2022-06-05,16,9.0,2022-06-05 16:00:00
137,2022-06-05,17,9.5,2022-06-05 17:00:00
145,2022-06-05,18,9.3,2022-06-05 18:00:00
153,2022-06-05,19,8.3,2022-06-05 19:00:00
161,2022-06-05,20,6.9,2022-06-05 20:00:00
169,2022-06-05,21,5.3,2022-06-05 21:00:00
177,2022-06-05,22,4.0,2022-06-05 22:00:00
185,2022-06-05,23,3.3,2022-06-05 23:00:00
2,2022-06-06,00,3.5,2022-06-06 00:00:00
10,2022-06-06,01,4.5,2022-06-06 01:00:00
18,2022-06-06,02,6.1,2022-06-06 02:00:00
26,2022-06-06,03,7.7,2022-06-06 03:00:00
34,2022-06-06,04,9.0,2022-06-06 04:00:00
42,2022-06-06,05,9.6,2022-06-06 05:00:00
50,2022-06-06,06,9.6,2022-06-06 06:00:00
58,2022-06-06,07,8.8,2022-06-06 07:00:00
66,2022-06-06,08,7.4,2022-06-06 08:00:00
74,2022-06-06,09,5.7,2022-06-06 09:00:00
82,2022-06-06,10,4.1,2022-06-06 10:00:00
90,2022-06-06,11,3.1,2022-06-06 11:00:00
98,2022-06-06,12,2.9,2022-06-06 12:00:00
106,2022-06-06,13,3.5,2022-06-06 13:00:00
114,2022-06-06,14,4.9,2022-06-06 14:00:00
122,2022-06-06,15,6.6,2022-06-06 15:00:00
130,2022-06-06,16,8.1,2022-06-06 16:00:00
138,2022-06-06,17,9.1,2022-06-06 17:00:00
146,2022-06-06,18,9.5,2022-06-06 18:00:00
154,2022-06-06,19,9.2,2022-06-06 19:00:00
162,2022-06-06,20,8.1,2022-06-06 20:00:00
170,2022-06-06,21,6.6,2022-06-06 21:00:00
178,2022-06-06,22,5.1,2022-06-06 22:00:00
186,2022-06-06,23,3.8,2022-06-06 23:00:00
3,2022-06-07,00,3.3,2022-06-07 00:00:00
11,2022-06-07,01,3.6,2022-06-07 01:00:00
19,2022-06-07,02,4.7,2022-06-07 02:00:00
27,2022-06-07,03,6.2,2022-06-07 03:00:00
35,2022-06-07,04,7.8,2022-06-07 04:00:00
43,2022-06-07,05,9.0,2022-06-07 05:00:00
51,2022-06-07,06,9.6,2022-06-07 06:00:00
59,2022-06-07,07,9.5,2022-06-07 07:00:00
67,2022-06-07,08,8.6,2022-06-07 08:00:00
75,2022-06-07,09,7.2,2022-06-07 09:00:00
83,2022-06-07,10,5.5,2022-06-07 10:00:00
91,2022-06-07,11,4.0,2022-06-07 11:00:00
99,2022-06-07,12,3.0,2022-06-07 12:00:00
107,2022-06-07,13,2.9,2022-06-07 13:00:00
115,2022-06-07,14,3.7,2022-06-07 14:00:00
123,2022-06-07,15,5.2,2022-06-07 15:00:00
131,2022-06-07,16,6.9,2022-06-07 16:00:00
139,2022-06-07,17,8.4,2022-06-07 17:00:00
147,2022-06-07,18,9.4,2022-06-07 18:00:00
155,2022-06-07,19,9.7,2022-06-07 19:00:00
163,2022-06-07,20,9.2,2022-06-07 20:00:00
171,2022-06-07,21,8.0,2022-06-07 21:00:00
179,2022-06-07,22,6.5,2022-06-07 22:00:00
187,2022-06-07,23,4.9,2022-06-07 23:00:00
4,2022-06-08,00,3.6,2022-06-08 00:00:00
12,2022-06-08,01,3.1,2022-06-08 01:00:00
20,2022-06-08,02,3.5,2022-06-08 02:00:00
28,2022-06-08,03,4.7,2022-06-08 03:00:00
36,2022-06-08,04,6.3,2022-06-08 04:00:00
44,2022-06-08,05,7.9,2022-06-08 05:00:00
52,2022-06-08,06,9.1,2022-06-08 06:00:00
60,2022-06-08,07,9.7,2022-06-08 07:00:00
68,2022-06-08,08,9.5,2022-06-08 08:00:00
76,2022-06-08,09,8.5,2022-06-08 09:00:00
84,2022-06-08,10,7.0,2022-06-08 10:00:00
92,2022-06-08,11,5.3,2022-06-08 11:00:00
100,2022-06-08,12,3.8,2022-06-08 12:00:00
108,2022-06-08,13,2.9,2022-06-08 13:00:00
116,2022-06-08,14,2.9,2022-06-08 14:00:00
124,2022-06-08,15,3.8,2022-06-08 15:00:00
132,2022-06-08,16,5.3,2022-06-08 16:00:00
140,2022-06-08,17,7.1,2022-06-08 17:00:00
148,2022-06-08,18,8.7,2022-06-08 18:00:00
156,2022-06-08,19,9.7,2022-06-08 19:00:00
164,2022-06-08,20,9.9,2022-06-08 20:00:00
172,2022-06-08,21,9.3,2022-06-08 21:00:00
180,2022-06-08,22,8.0,2022-06-08 22:00:00
188,2022-06-08,23,6.3,2022-06-08 23:00:00
5,2022-06-09,00,4.6,2022-06-09 00:00:00
13,2022-06-09,01,3.3,2022-06-09 01:00:00
21,2022-06-09,02,2.8,2022-06-09 02:00:00
29,2022-06-09,03,3.3,2022-06-09 03:00:00
37,2022-06-09,04,4.6,2022-06-09 04:00:00
45,2022-06-09,05,6.3,2022-06-09 05:00:00
53,2022-06-09,06,8.0,2022-06-09 06:00:00
61,2022-06-09,07,9.3,2022-06-09 07:00:00
69,2022-06-09,08,9.9,2022-06-09 08:00:00
77,2022-06-09,09,9.6,2022-06-09 09:00:00
85,2022-06-09,10,8.6,2022-06-09 10:00:00
93,2022-06-09,11,6.9,2022-06-09 11:00:00
101,2022-06-09,12,5.1,2022-06-09 12:00:00
109,2022-06-09,13,3.5,2022-06-09 13:00:00
117,2022-06-09,14,2.7,2022-06-09 14:00:00
125,2022-06-09,15,2.7,2022-06-09 15:00:00
133,2022-06-09,16,3.8,2022-06-09 16:00:00
141,2022-06-09,17,5.5,2022-06-09 17:00:00
149,2022-06-09,18,7.4,2022-06-09 18:00:00
157,2022-06-09,19,9.1,2022-06-09 19:00:00
165,2022-06-09,20,10.1,2022-06-09 20:00:00
173,2022-06-09,21,10.3,2022-06-09 21:00:00
181,2022-06-09,22,9.5,2022-06-09 22:00:00
189,2022-06-09,23,8.0,2022-06-09 23:00:00
6,2022-06-10,00,6.1,2022-06-10 00:00:00
14,2022-06-10,01,4.3,2022-06-10 01:00:00
22,2022-06-10,02,2.9,2022-06-10 02:00:00
30,2022-06-10,03,2.4,2022-06-10 03:00:00
38,2022-06-10,04,3.0,2022-06-10 04:00:00
46,2022-06-10,05,4.4,2022-06-10 05:00:00
54,2022-06-10,06,6.3,2022-06-10 06:00:00
62,2022-06-10,07,8.2,2022-06-10 07:00:00
70,2022-06-10,08,9.6,2022-06-10 08:00:00
78,2022-06-10,09,10.2,2022-06-10 09:00:00
86,2022-06-10,10,9.8,2022-06-10 10:00:00
94,2022-06-10,11,8.6,2022-06-10 11:00:00
102,2022-06-10,12,6.8,2022-06-10 12:00:00
110,2022-06-10,13,4.8,2022-06-10 13:00:00
118,2022-06-10,14,3.2,2022-06-10 14:00:00
126,2022-06-10,15,2.3,2022-06-10 15:00:00
134,2022-06-10,16,2.5,2022-06-10 16:00:00
142,2022-06-10,17,3.7,2022-06-10 17:00:00
150,2022-06-10,18,5.6,2022-06-10 18:00:00
158,2022-06-10,19,7.8,2022-06-10 19:00:00
166,2022-06-10,20,9.6,2022-06-10 20:00:00
174,2022-06-10,21,10.6,2022-06-10 21:00:00
182,2022-06-10,22,10.7,2022-06-10 22:00:00
190,2022-06-10,23,9.8,2022-06-10 23:00:00
7,2022-06-11,00,8.0,2022-06-11 00:00:00
15,2022-06-11,01,,2022-06-11 01:00:00
23,2022-06-11,02,,2022-06-11 02:00:00
31,2022-06-11,03,,2022-06-11 03:00:00
39,2022-06-11,04,,2022-06-11 04:00:00
47,2022-06-11,05,,2022-06-11 05:00:00
55,2022-06-11,06,,2022-06-11 06:00:00
63,2022-06-11,07,,2022-06-11 07:00:00
71,2022-06-11,08,,2022-06-11 08:00:00
79,2022-06-11,09,,2022-06-11 09:00:00
87,2022-06-11,10,,2022-06-11 10:00:00
95,2022-06-11,11,,2022-06-11 11:00:00
103,2022-06-11,12,,2022-06-11 12:00:00
111,2022-06-11,13,,2022-06-11 13:00:00
119,2022-06-11,14,,2022-06-11 14:00:00
127,2022-06-11,15,,2022-06-11 15:00:00
135,2022-06-11,16,,2022-06-11 16:00:00
143,2022-06-11,17,,2022-06-11 17:00:00
151,2022-06-11,18,,2022-06-11 18:00:00
159,2022-06-11,19,,2022-06-11 19:00:00
167,2022-06-11,20,,2022-06-11 20:00:00
175,2022-06-11,21,,2022-06-11 21:00:00
183,2022-06-11,22,,2022-06-11 22:00:00
191,2022-06-11,23,,2022-06-11 23:00:00
